City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Tayu,ID,79.32,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
637,Klaeng,TH,89.01,overcast clouds,12.7797,101.6483,Damrongcheep in Resort
639,Paragominas,BR,88.81,broken clouds,-2.9667,-47.4833,.
646,Concordia,AR,78.01,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
648,Alyangula,AU,79.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
652,Mangrol,IN,79.2,clear sky,21.1167,70.1167,Hotel The Royal Honours
659,Catuday,PH,78.31,clear sky,16.2923,119.8062,GResort
661,Finschhafen,PG,78.42,heavy intensity rain,-6.6024,147.8681,Cossam Guest House
662,Singapore,SG,80.6,heavy intensity rain,1.2897,103.8501,The Fullerton Hotel Singapore
668,Port Hedland,AU,75.2,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
671,Bandarbeyla,SO,80.37,scattered clouds,9.4942,50.8122,JABIR HOTEL
676,Esna,EG,80.6,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
679,Kerman,IR,77.0,broken clouds,30.2832,57.0788,هتل آپارتمان آسام
681,Kingman,US,75.0,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
689,Pitanga,BR,79.47,clear sky,-24.7572,-51.7614,Hotel Santa Carmem
696,Tual,ID,82.47,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
698,Sao Miguel Do Araguaia,BR,83.71,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
699,Antalaha,MG,76.24,light rain,-14.9003,50.2788,Hotel Vitasoa
701,Las Matas De Farfan,DO,86.04,broken clouds,18.8731,-71.5166,Casa Uben y Yolanda
703,Tabou,CI,83.21,broken clouds,4.423,-7.3528,hotêl doufoulougou
